Location,Frequency,Latitude,Longitude
Satya Sai Square Indore,1,22.755252778507515,75.89677304359799
satya sai square indore,1,22.755252778507515,75.89677304359799
"Banjara Hills, Hyderabad",5,17.4177464,78.4399014
Indore,4,22.7203616,75.8681996
"Rajwada, Indore",5,22.7184344,75.8547755
"Salt Lake, Kolkata",5,22.6564623,88.44672447479577
Delhi,12,28.6273928,77.1716954
Pune,12,18.5213738,73.8545071
N/A,177,51.56687395,4.928497182168812
India,78,22.3511148,78.6677428
Mumbai,2,19.054999,72.8692035
"India, Europe, Japan, US",1,,
South India,1,17.3615965,78.4276746
Sri Lanka,1,7.5554942,80.7137847
वाराणसी (Varanasi),1,25.3356491,83.0076292
#India,1,22.3511148,78.6677428
Britain,1,54.3151594,-1.9181532111487878
Rajasthan,2,26.8105777,73.7684549
"Kerala, India",1,10.3528744,76.5120396
"Marine Drive, Mumbai, India",1,18.947812160363956,72.82038655827904
Kerala,6,10.3528744,76.5120396
Ladakh,3,34.0242098,77.2036739
"Telangana, Gujarat",1,17.4108202,78.4679083
Bangalore,5,12.98815675,77.62260003796
Chandigarh,1,30.7334421,76.7797143
"Bihar, India",1,25.6440845,85.906508
Bihar,4,25.6440845,85.906508
"Mahabodhi Temple, India",1,24.69593025,84.99139027981707
Kashmir,3,26.2644203,71.6027498
"Mamallapuram, Tamil Nadu, India",1,12.6195981,80.1936497
Delhi's Alipur,1,28.7973118,77.138667
"Karauli, Rajasthan",1,26.4530971,77.0160460838982
Kulgam,1,33.6446899,75.0188432
Tripura,1,23.7750823,91.7025091
"Meghalaya, India",1,25.5379432,91.2999102
Punjab,1,30.9293211,75.5004841
Korea,1,37.9528488,126.73311710879327
"Dausa, Rajasthan",1,26.80486585,76.44374569929329
"Samastipur, Bihar",1,25.77478845,85.867231389952
india,1,22.3511148,78.6677428
"India, Nigeria, Indonesia, Ethiopia, Philippines",1,,
"New Delhi, India",1,28.64308585,77.21926705734865
"India, China",1,26.022114549999998,78.68385114285348
"Raipur, Chhattisgarh",1,21.2380912,81.6336993
পলাশবাড়ী ও সাদুল্লাপুরে,1,,
Polashbari and Sadullapur,1,,
Palashbari and Sadullapur,2,,
"Prayag, Lucknow",1,26.8484109,80.9273405
Chennai,1,13.0836939,80.270186
BhusavalDivn,1,,
Mathura junction,1,27.4801125,77.6737596
Thane Vashi,1,19.0632481,72.9987965626257
LTT,1,19.0694658,72.8919779
Kozhikode (Calicut),1,11.2450558,75.7754716
"Varanasi, Chunar, Mirzapur",1,25.23228198840346,83.03482528673517
Raeberali,1,,
Ghaziabad to New Delhi,1,28.634753,77.3904277
Bandikui,1,27.0457102,76.5752695
Howrah to Cuttack,1,,
Bilaspur,1,22.1638486,82.13659231724193
Paschim Express,1,,
Dindigul station,1,10.3527913,77.9834295
Bilaspur Hapa express,1,,
Jbp to Patna,1,,
Bhodwal station,1,29.1852264,77.0084189
ADI station,1,23.0263312,72.601
Jammu Tavi,1,32.7840885,74.9511312
Old Delhi Railway station,1,28.660932,77.2276494
"Satna, Allahabad",1,,
Mysore,1,12.3051828,76.6553609
Tandur station,1,17.2509364,77.5841263
silyari,1,21.4260915,81.7554465
Jabalpur,1,23.1701522,79.9324505
New Delhi station,1,28.6419258,77.2217499
Bareilly and Shahjanpur,1,,
Rewari stn,1,25.9608228,76.3435274
Jalandar city railway station,1,,
Guwahaty Naharlagun,1,,
Haveri,1,14.71802675,75.36564232024529
??????,1,,
Meerut-Saharanpur,1,,
Mangalore,1,12.8698101,74.8430082
Bilimora,1,20.7671693,72.9693451
Barelliye,1,,
PTB station,1,10.8022383,76.1809281
Pothigai express train,1,,
Sabarmati,1,23.0770712,72.5890677
Abu Road to Mumbai,1,,
New Delhi and Darbhanga,1,,
Secunderabad,1,17.4337246,78.5006827
Delhi Sarai Rohilla Railway station,1,28.6627515,77.1852561
ADI to JP,1,,
"Delhi, CBE",1,,
Hapur station,1,28.739239,77.7787139
"Habibaganj station, Bhopal",1,,
Aleppey-Chennai,1,,
Patna Junction PF-3,1,,
"Perumbakkam, Chennai",4,12.9050095,80.1968629
"Whitefield, Bengaluru",4,12.9696365,77.7497448
"Rajarhat, Kolkata",4,22.6564623,88.44672447479577
"Whitefield, Bangalore",4,12.9696365,77.7497448
Noida,4,28.5706333,77.3272147
"Satya Sai Square, Indore",4,22.7552555,75.8967639
"Hinjewadi, Pune",4,18.607716449999998,73.719794973868
"Gachibowli, Hyderabad",7,17.4436222,78.3519638
"Mira Road, Mumbai",4,19.2748103,72.8581962
"Uttam Nagar, Delhi",4,28.6215226,77.0611064
Gujarat,4,22.3850051,71.745261
Hyderabad,7,17.360589,78.4740613
"Kondhwa, Pune",4,18.4779905,73.8940627
"Andheri, Mumbai",8,19.1196976,72.8464205
"Indore, Sapna-Sangeeta, MG Road",1,,
"Viman Nagar, Pune",4,18.5653748,73.91028171896751
"Koramangala, BLR",1,,
"Palasia Square, Indore",4,22.7233904,75.8844667
Tamil Nadu,3,10.9094334,78.3665347
IIT Madras,3,12.9914769,80.2336786
Washington DC,3,38.8950368,-77.0365427
Udaipur,3,24.578721,73.6862571
Kerala beaches,1,,
"Koramangala, Bangalore",1,12.9360738,77.6194476

